Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$4,037,689,765","1,673,642","15,141,324","2,700,332"
CryptoPunks,"$2,142,977,363","5,356","20,589","3,536"
Bored Ape Yacht Club,"$1,543,250,234","9,872","25,299","6,368"
Art Blocks,"$1,212,366,702","27,465","147,171","32,044"
Mutant Ape Yacht Club,"$1,051,682,337","18,044","32,553",
NBA Top Shot,"$954,035,204","421,626","18,055,341","670,258"
VeeFriends,"$517,407,043","5,936","13,051",
CloneX,"$482,858,716","7,437","14,002",
Meebits,"$451,491,699","9,771","28,362",
Azuki,"$398,443,134","10,909","22,444",
The Sandbox,"$367,757,586","23,011","51,101","19,165"
Doodles,"$321,066,209","10,620","20,055","6,232"
Cool Cats,"$315,116,716","10,297","27,877",
Loot,"$277,376,463","3,982","11,199",
Sorare,"$265,690,002","79,246","1,723,436","107,063"
Bored Ape Kennel Club,"$245,090,514","8,485","19,529",
CrypToadz,"$218,059,138","8,291","19,053","4,025"
Parallel Alpha,"$216,086,782","20,566","99,199",
Farmers World,"$195,345,888","63,653","3,883,850","150,916"
World Of Women,"$190,485,235","8,975","22,506","5,282"
CyberKongz,"$189,714,006","3,598","6,114",
MekaVerse,"$173,345,184","6,170","12,562","5,007"
Crabada,"$169,684,394","6,001","94,034",
Zed Horse,"$167,633,282","65,176","432,192",
PUNKS Comic,"$166,204,170","4,352","11,118","3,538"
Solana Monkey Business,"$163,380,961","3,810","9,291","5,854"
Pudgy Penguins,"$157,447,575","11,977","31,058","4,660"
0N1 Force,"$157,001,249","8,613","18,954","4,442"
Bored Ape Chemistry Club,"$156,827,418","2,017","3,532",
HAPE PRIME,"$148,537,353","5,550","9,073",
Zed Run,"$140,435,453","62,550","253,922","57,398"
NFT Worlds,"$126,750,834","7,960","18,461",
Degenerate Ape Academy,"$126,738,507","6,976","19,221","5,106"
RTFKT CloneX Mintvial,"$124,898,621","2,696","5,772",1
Creature World NFT,"$116,800,820","11,735","24,412","6,238"
Curio Cards,"$115,930,573","7,309","22,530",1
Karafuru,"$114,132,008","8,227","12,727",
Emblem Vault,"$107,328,525","4,866","18,016","5,399"
FLUF World,"$106,794,858","6,837","19,540",
PhantaBear,"$103,174,503","8,024","16,150","5,171"
Wolf Game,"$103,108,766","9,030","32,605","8,128"
Prime Ape Planet,"$101,925,849","8,142","14,874",
LOSTPOETS,"$99,460,473","8,417","24,033","5,808"
adidas Originals,"$96,304,227","21,025","29,774",1
The n project,"$95,523,310","5,140","13,013","1,824"
The Doge Pound,"$94,871,179","7,847","15,443","5,597"
Invisible Friends,"$92,726,799","6,916","8,701",
Lazy Lions,"$91,495,377","10,815","25,868","5,116"
Kaiju Kingz,"$88,088,760","4,868","7,651","3,186"
Vox Collectibles,"$87,926,047","6,724","17,739","3,407"
mfer,"$87,263,601","10,521","22,607",
Hashmasks,"$86,948,181","5,952","19,090","5,238"
Aurory,"$81,779,291","6,309","14,122","5,237"
Cool Pets,"$80,082,965","14,190","20,038",
DeadFellaz,"$79,644,900","11,864","24,122","6,202"
Sneaky Vampire Syndicate,"$73,617,983","6,689","15,288","4,789"
Capsule,"$72,106,335","8,666","25,781",
Sup Ducks,"$71,922,890","7,530","18,167","3,625"
ALIENFRENS,"$70,562,346","13,349","27,163",
Mooncats,"$70,096,086","8,290","23,138","6,376"
Psychedelics Anonymous Genesis,"$69,585,246","13,489","21,256",
3Landers,"$69,488,705","7,679","15,915",
CoolmansUniverse,"$69,356,236","11,512","24,803",
888 Inner Circle,"$69,149,650","6,333","14,299",1
Adam Bomb Squad,"$68,715,288","13,894","37,088",
SuperNormalbyZipcy,"$68,463,860","5,115","10,989",
WebbLand,"$68,319,707","10,060","20,100",
Pixelmon,"$65,016,455","8,612","14,304",
Frontier Game,"$65,013,255","7,865","19,221",
V1 Cryptopunks Wrapped,"$64,784,708",732,"1,577",
Lives of Asuna,"$63,849,853","15,150","24,152",
CryptoSkulls,"$62,936,373","9,125","21,032",
Hero,"$61,687,351","6,712","10,995",
GalacticApes,"$60,579,459","7,929","20,556","3,712"
RTFKT MNLTH,"$59,938,690","2,883","4,168",1
MutantCats,"$59,745,874","10,058","22,776","4,250"
The Currency Eth,"$59,421,384","1,547","2,271",
Rumble Kong League,"$59,140,560","4,825","12,280","3,220"
Gutter Cat Gang,"$58,439,324","2,292","4,361",
CryptoPhunksV2,"$57,974,051","4,431","13,833",
Neo Tokyo Identities,"$55,975,514",821,"1,077","1,875"
Metroverse City Block,"$55,307,504","6,808","16,241",
FULL SEND METACARD,"$55,196,688","11,080","17,323",
Anonymice,"$54,460,887","3,490","8,230",
Killer GF,"$53,541,311","6,979","14,776",
Galactic Gecko Space Garage,"$53,307,117","7,930","23,935","4,170"
CyberBrokers,"$52,992,528","6,221","13,138",
CryptoBatz by Ozzy Osbourne,"$51,169,613","11,104","15,486",
HypeBears,"$50,976,461","17,280","25,234",
Lil Heroes,"$50,569,744","4,615","8,600",
JRNY NFT Club,"$50,424,314","3,538","5,478","6,598"
Crypto Bull Society,"$49,703,108","6,036","11,019",
Shadowy Super Coder,"$49,626,581","2,719","6,900","1,177"
Galaxy Eggs,"$49,136,957","8,260","18,113","4,937"
Robotos Official,"$48,264,789","11,330","23,536","5,716"
CryptoKitties,"$47,799,465","115,530","795,612","114,634"
MetaHero Universe Generative,"$47,624,515","1,554","2,477","3,037"
CryptoMories,"$46,534,582","11,025","24,941","5,250"
Treeverse,"$45,995,556","5,514","12,043","3,815"
The Shiboshis,"$45,741,959","3,343","8,369","3,640"
Desperate ApeWives,"$45,108,523","5,503","13,281","4,539"
Autoglyphs,"$44,931,162",190,356,162
Chain Runners,"$44,902,631","4,799","11,090","3,332"
ApeKidsClub,"$43,301,908","9,718","21,058",
The Humanoids,"$43,151,916","9,769","21,675","4,909"
Tubby Cats,"$42,488,588","20,242","35,588",
Koala Intelligence Agency,"$42,249,419","8,805","18,852","5,039"
The Sevens,"$42,192,691","5,857","11,135","3,703"
C-01 Official Collection,"$41,976,575","6,851","12,289",
Nanopass,"$41,303,384","8,421","11,644",
Boss Beauties,"$41,129,860","9,636","19,438",
OxyaOriginProject,"$40,846,519","5,835","12,598",
n,"$40,257,200","5,068","12,782",
Cryptovoxels,"$39,935,595","2,844","11,107","2,216"
Peaceful Groupies,"$39,317,309","8,755","20,400","3,821"
My Pet Hooligan,"$38,912,069","8,403","14,690",
Alien Worlds,"$38,602,362","461,852","5,280,679","3,199,769"
inbetweeners,"$37,872,506","6,295","11,770",
Pixel Vault Founders DAO,"$37,491,851","1,998","2,768",
The CryptoDads,"$37,490,328","8,020","15,716","7,247"
Forgotten Runes,"$37,074,076","4,447","13,733","2,856"
TheHeartProject,"$37,073,867","11,001","22,487","5,884"
the littles NFT,"$36,929,134","8,711","17,079",
Farming Tales,"$36,310,600","9,729","161,852","5,326"
Blitmap,"$35,700,496",421,982,602
MURI,"$35,573,606","12,948","20,873",
GEN.ART,"$35,428,053","4,359","7,961",
Bored Bunny,"$35,325,379","7,971","12,276",
GENART,"$35,309,927","4,003","7,343","2,405"
SolPunks,"$34,934,926","7,029","16,191","4,650"
Smilesss,"$34,656,836","8,789","16,323",
Metasaurs by Dr. DMT,"$34,433,219","7,656","15,775","5,189"
Bloot,"$34,157,483","6,402","15,127","3,907"
